Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,RECORD_KEY,Load Date,year_month,date_key
2014,7,Maryland,Food,,,,Restaurant: Sit-down dining,6,0,6,0,6,crab,crab,Crustaceans,,,,1cfa77a937e9891e,2024-12-20,2014-07,20140701
2019,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,26,2,26,0,26,,,,,,,1cfb2307aded613d,2024-12-20,2019-03,20190301
2008,3,Colorado,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,22,0,22,0,22,,,,,,,1cfce3e5ceb99f0b,2024-12-20,2008-03,20080301
2014,3,Nebraska,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,52,0,52,0,52,,,,,,,1cfd0ba0812bff61,2024-12-20,2014-03,20140301
2018,5,Kansas,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,9,3,8,0,8,Leafy Greens,,Vegetable Row Crops,,,,1cfd1203c5294095,2024-12-20,2018-05,20180501
2009,1,Virginia,Person-to-person,Norovirus,,Suspected,School/college/university,12,0,,0,,,,,,,,1cfd401208337bb0,2024-12-20,2009-01,20090101
2006,10,Arizona,Food,,,,Restaurant: Other,10,0,10,0,10,"beef, other",,Beef,,,,1cfe688c0bbf504f,2024-12-20,2006-10,20061001
2023,4,Connecticut,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,24,0,15,0,15,,,,,,,1cfec2802065e795,2024-12-20,2023-04,20230401
2021,12,Ohio,Food,Norovirus Genogroup II;Norovirus Genogroup II,GII.P12 GII.3;unknown,Confirmed;Suspected,Restaurant: Sit-down dining,8,1,8,0,8,sauces,,Multiple,,,,1cff739bd06a9679,2024-12-20,2021-12,20211201
2017,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,,1d00910301079129,2024-12-20,2017-01,20170101
2012,1,Nebraska,Indeterminate/unknown,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,36,0,0,0,0,,,,,,,1d01e24f8c482493,2024-12-20,2012-01,20120101
2023,4,Massachusetts,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,15,2,15,0,0,,,,,,,1d02977f34b25773,2024-12-20,2023-04,20230401
2017,4,California,Food,Clostridium botulinum,,Confirmed,Other,10,10,10,1,10,nachos and cheese,,Multiple,,,,1d02cb0f780a4e0a,2024-12-20,2017-04,20170401
2005,7,Oregon,Food,Clostridium perfringens,,Confirmed,Caterer,19,0,19,0,19,"chicken, teriyaki",,Multiple,,,,1d053b46970c1ee6,2024-12-20,2005-07,20050701
2019,1,Indiana,Person-to-person,Norovirus unknown,,Confirmed,Restaurant,5,0,5,0,5,,,,,,,1d053c55d2e61212,2024-12-20,2019-01,20190101
1990,6,Wisconsin,Water,,,,Outdoor Area,79,0,,0,,,,,Recreational water -- untreated,Lake/Reservoir,,1d0605f65670560b,2024-12-20,1990-06,19900601
2016,1,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,,1d0775bb976e9165,2024-12-20,2016-01,20160101
2010,12,Oregon,Food,Norovirus Genogroup II,,Confirmed,Caterer,38,3,37,0,37,,,,,,,1d0782ee771f68f6,2024-12-20,2010-12,20101201
2009,1,Illinois,Food,,,,,4,,,0,4,,,,,,,1d09613ac37cbf47,2024-12-20,2009-01,20090101
2020,1,Alabama,Indeterminate/unknown,Shigella sonnei,,Confirmed,School/college/university,2,0,2,0,2,,,,,,,1d0a7ac136665dec,2024-12-20,2020-01,20200101
2016,12,Illinois,Person-to-person,,,,Long-term care/nursing home/assisted living facility,59,1,59,0,59,,,,,,,1d0a9225747a5910,2024-12-20,2016-12,20161201
2017,3,Tennessee,Person-to-person,Norovirus Genogroup I,,Suspected,Long-term care/nursing home/assisted living facility,35,,0,,0,,,,,,,1d0a9c33ed03f76e,2024-12-20,2017-03,20170301
2015,11,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,,1d0bdffbe320f688,2024-12-20,2015-11,20151101
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,School/college/university,35,,0,,0,,,,,,,1d12d4b977893a50,2024-12-20,2020-01,20200101
2019,3,North Carolina,Person-to-person,Rotavirus,,Suspected,Child daycare/preschool,21,1,21,0,21,,,,,,,1d12d61f1c5c30a9,2024-12-20,2019-03,20190301
2022,3,Oregon,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,,1d137651bfba4ff0,2024-12-20,2022-03,20220301
2016,10,Minnesota,Food,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Restaurant: Sit-down dining,23,0,23,0,23,hamburger,,Multiple,,,,1d13f0259433285b,2024-12-20,2016-10,20161001
2013,5,Maryland,Food,Salmonella enterica,Muenchen,Confirmed,Grocery store/bakery/deli/convenience store,2,0,2,0,2,chicken kabob sandwich,,Multiple,,,,1d150867db900295,2024-12-20,2013-05,20130501
2014,2,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Hospital,7,1,7,0,7,,,,,,,1d17b1cede6e32f3,2024-12-20,2014-02,20140201
2021,3,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,7,,0,,0,,,,,,,1d17f5cb88becc38,2024-12-20,2021-03,20210301
2006,2,Kansas,Food,,,,Restaurant: Other,10,0,9,0,9,,,,,,,1d185007e28d236c,2024-12-20,2006-02,20060201
2014,8,Ohio,Indeterminate/unknown,Campylobacter,,Suspected,Child daycare/preschool,9,0,9,0,9,,,,,,,1d19d432a78ef096,2024-12-20,2014-08,20140801
2020,1,New York,Food,Clostridium perfringens,,Suspected,Caterer,7,0,7,0,7,Curry Chick Peas w/ Potatoes;Pelau Dish;curry chicken,potatoes;chick peas;peas;Meat;chicken,Multiple,,,,1d1b43e2322699a6,2024-12-20,2020-01,20200101
2008,4,Maine,Food,Norovirus unknown,,Confirmed,,55,0,55,0,55,,,,,,,1d1c14a4c6d7ac5f,2024-12-20,2008-04,20080401
2022,1,Colorado,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,,1d1cea53104a82ca,2024-12-20,2022-01,20220101
2013,3,Virginia,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,69,0,69,0,69,,,,,,,1d203a9f92b8c7ae,2024-12-20,2013-03,20130301
2019,9,Colorado,Person-to-person,Norovirus unknown,,Suspected,School/college/university,12,0,0,0,0,,,,,,,1d203c84c655193a,2024-12-20,2019-09,20190901
2005,12,California,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,2,0,2,0,2,"salad, other",,Multiple,,,,1d20a721c032c506,2024-12-20,2005-12,20051201
2019,4,Connecticut,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,23,3,16,0,16,,,,,,,1d20a77e98087555,2024-12-20,2019-04,20190401
2010,1,South Carolina,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Other,36,0,36,0,36,,,,,,,1d22d0edc9ae22d5,2024-12-20,2010-01,20100101
2016,3,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,,1d236387277d03db,2024-12-20,2016-03,20160301
2020,1,Missouri,Person-to-person,,,,Long-term care/nursing home/assisted living facility,24,,0,,0,,,,,,,1d239926079e02d8,2024-12-20,2020-01,20200101
2014,5,Illinois,Food,Norovirus Genogroup II,,Suspected,Restaurant: Sit-down dining,9,0,,0,,chicken salad,,Multiple,,,,1d263f96864b32a0,2024-12-20,2014-05,20140501
2016,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,42,9,42,0,42,,,,,,,1d26b1e740f47779,2024-12-20,2016-12,20161201
2007,8,Nebraska,Water,Cryptosporidium unknown,,Confirmed,Hotel/motel,6,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,,1d2768d12c0f6712,2024-12-20,2007-08,20070801
2004,6,Pennsylvania,Food,,,,Restaurant: Other,4,0,4,0,4,"ground beef, meatballs",,Beef,,,,1d2825a55ee24f6f,2024-12-20,2004-06,20040601
2017,12,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,1d2b554acc048341,2024-12-20,2017-12,20171201
2015,4,Multistate,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,15,4,10,0,15,stuffed chicken,chicken,Chicken,,,,1d2ba11e307fe185,2024-12-20,2015-04,20150401
2012,3,Rhode Island,Person-to-person,Norovirus Genogroup II,,Confirmed,Long-term care/nursing home/assisted living facility,16,4,16,0,16,,,,,,,1d2ce59550313c34,2024-12-20,2012-03,20120301
2022,4,South Carolina,Food,Norovirus,,Suspected,Restaurant: Sit-down dining,2,0,2,0,2,,,,,,,1d2e975f16133562,2024-12-20,2022-04,20220401
2015,5,Multistate,Food,Listeria monocytogenes,,Confirmed,Unknown,21,15,19,4,19,,,,,,,1d3020731b986971,2024-12-20,2015-05,20150501
2002,1,Alabama,Food,,,,Restaurant: Other,2,,,,,,,,,,,1d303630b75ef52b,2024-12-20,2002-01,20020101
2013,12,Illinois,Person-to-person,Norovirus,,Suspected,,42,0,0,0,42,,,,,,,1d3045ed99a17fac,2024-12-20,2013-12,20131201
2001,3,Texas,Food,Bacillus cereus;Norovirus Genogroup I,,Confirmed;Suspected,Unknown,28,,,,,"beans, BBQ;barbecue sauce",,Multiple,,,,1d30f63ce95ab9ef,2024-12-20,2001-03,20010301
2022,4,Virginia,Person-to-person,,,,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,1d3107b286bc1f68,2024-12-20,2022-04,20220401
2016,3,Pennsylvania,Person-to-person,Shigella sonnei,subgroup D,Confirmed,Other,26,2,25,0,24,,,,,,,1d310d43ddb8c31d,2024-12-20,2016-03,20160301
2000,7,Florida,Food,Ciguatoxin,,Suspected,Restaurant: Other,2,0,0,0,0,"fish, grouper, unspecified",Fin fish,Fish,,,,1d31c7c2c70c70b3,2024-12-20,2000-07,20000701
2013,4,New York,Person-to-person,Norovirus,,Suspected,,14,,,,,,,,,,,1d330e6d8a09e335,2024-12-20,2013-04,20130401
2019,3,Utah,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,28,0,0,0,0,,,,,,,1d334b528ca40d4b,2024-12-20,2019-03,20190301
2017,10,Arizona,Person-to-person,,,,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,,1d3432beecaa0b7d,2024-12-20,2017-10,20171001
2010,11,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,1,24,1,24,,,,,,,1d3433ed992a0e29,2024-12-20,2010-11,20101101
1998,10,Nevada,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,14,,,0,,,,,,,,1d3443c609d79ec9,2024-12-20,1998-10,19981001
2019,8,New Mexico,Indeterminate/unknown,Norovirus unknown,,Suspected,Child daycare/preschool,6,1,5,0,5,,,,,,,1d34b03aa94149c8,2024-12-20,2019-08,20190801
2020,10,California,Food,Vibrio parahaemolyticus,,Confirmed,Restaurant: Sit-down dining,4,0,4,0,4,"oysters, raw","oysters, raw",Mollusks,,,,1d3726b1c7954630,2024-12-20,2020-10,20201001
1998,7,Texas,Food,,,,,6,,,,,,,,,,,1d3759c5b9f30ca5,2024-12-20,1998-07,19980701
2019,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,19,0,19,1,19,,,,,,,1d38141e630b5306,2024-12-20,2019-01,20190101
2019,7,Pennsylvania,Food,Salmonella enterica,Group B,Confirmed,Restaurant: Sit-down dining,10,2,10,0,10,,,,,,,1d38f65b1ead6f17,2024-12-20,2019-07,20190701
1999,9,Florida,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Camp/cabin;Community/municipality,2,0,,0,,,,,Recreational water -- untreated,Other;Unknown,,1d3cb21b9aac1137,2024-12-20,1999-09,19990901
2018,12,Delaware,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,31,1,31,,0,,,,,,,1d3cfd9e66fcf197,2024-12-20,2018-12,20181201
2010,2,Ohio,Food,,,,Restaurant: Sit-down dining,2,0,2,0,2,,,,,,,1d3d174a873b3c32,2024-12-20,2010-02,20100201
2001,3,Washington,Food,,,,Restaurant: Other,2,0,2,0,2,"pad thai, unspecified",,Multiple,,,,1d3ec2d4ae46399f,2024-12-20,2001-03,20010301
2022,2,Colorado,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,29,2,29,0,29,,,,,,,1d41ca7241bbe2cd,2024-12-20,2022-02,20220201
2012,8,Minnesota,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,24,2,6,0,24,"beef, raw",ground beef,Beef,,,,1d42748a1c893fbe,2024-12-20,2012-08,20120801
2019,12,North Dakota,Person-to-person,,,,Long-term care/nursing home/assisted living facility,102,1,102,0,102,,,,,,,1d42c0ec66bf0a49,2024-12-20,2019-12,20191201
2023,7,South Carolina,Person-to-person,Salmonella enterica;Norovirus unknown,Typhimurium,Suspected;Suspected,Child daycare/preschool,37,0,37,0,37,,,,,,,1d4438545ab0ba7f,2024-12-20,2023-07,20230701
2013,12,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,,1d44c69edffb0a28,2024-12-20,2013-12,20131201
2001,4,Ohio,Food,Histamine,,Confirmed,Restaurant: Other,5,1,5,0,5,"fish, escolar",,Fish,,,,1d49c12e6db48c91,2024-12-20,2001-04,20010401
2013,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,1d4c2cb28ed8aec7,2024-12-20,2013-12,20131201
2012,11,New Mexico,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,98,2,98,0,98,,,,,,,1d4cfdf3e9d0d26f,2024-12-20,2012-11,20121101
2000,10,Illinois,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,5,0,5,0,5,,,,,,,1d4d86dccef602c5,2024-12-20,2000-10,20001001
2011,10,California,Food,Norovirus unknown,,Suspected,Caterer,7,0,7,0,7,,,,,,,1d4e44ed1e943af8,2024-12-20,2011-10,20111001
2017,2,Pennsylvania,Person-to-person,"Escherichia coli, Shiga toxin-producing",O45:H2,Suspected,Private home/residence,3,0,3,0,3,,,,,,,1d501d67b55d7986,2024-12-20,2017-02,20170201
2004,12,Connecticut,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,17,1,17,0,17,hummus,,N/A,,,,1d51089fff7aa3c4,2024-12-20,2004-12,20041201
2020,1,Ohio,Person-to-person,Norovirus,,Suspected,School/college/university,5,,0,,0,,,,,,,1d525951b9412e66,2024-12-20,2020-01,20200101
2020,2,Nebraska,Indeterminate/unknown,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,16,1,16,0,16,,,,,,,1d52ded130970661,2024-12-20,2020-02,20200201
2012,10,South Dakota,Indeterminate/unknown,Salmonella enterica,Typhimurium var Cope,Confirmed,,5,0,5,0,5,,,,,,,1d5356cf4ec2a2eb,2024-12-20,2012-10,20121001
2017,2,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,23,2,23,0,23,,,,,,,1d53bf6752c4c234,2024-12-20,2017-02,20170201
2013,3,Indiana,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,22,0,22,0,22,,,,,,,1d5426cf93735314,2024-12-20,2013-03,20130301
2008,1,Minnesota,Food,Norovirus Genogroup I,,Confirmed,Other,2,0,2,0,2,oysters,,Mollusks,,,,1d54b92b08831a10,2024-12-20,2008-01,20080101
2000,4,Florida,Food,,,,Restaurant: Other,3,1,3,,,multiple foods,,,,,,1d55c8f20a1bf257,2024-12-20,2000-04,20000401
2000,6,Texas,Food,,,,Restaurant: Other,36,0,34,0,34,pasta salad;green salad,,Multiple,,,,1d55ec1e8cfbbc2c,2024-12-20,2000-06,20000601
2018,7,Florida,Environmental contamination other than food/water,Campylobacter unknown,,Confirmed,Other,5,1,5,0,5,,,,,,,1d5709b2cad1dc5b,2024-12-20,2018-07,20180701
2004,5,California,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,11,1,11,0,11,"sandwich, roast beef",,Multiple,,,,1d5709fb7fff4967,2024-12-20,2004-05,20040501
2011,8,Michigan,Person-to-person,Salmonella enterica,Typhimurium,Confirmed,Other,3,3,3,0,3,,,,,,,1d57399327aab48c,2024-12-20,2011-08,20110801
2021,4,New Mexico,Person-to-person,Norovirus,,Suspected,School/college/university,12,0,12,0,12,,,,,,,1d5775214f9e9fb9,2024-12-20,2021-04,20210401
2014,10,Florida,Food,Ciguatoxin,,Confirmed,Restaurant: Sit-down dining,3,0,3,0,3,"fish, grouper","fish, grouper",Fish,,,,1d58ebb5acd4c313,2024-12-20,2014-10,20141001
2006,4,Indiana,Water,Unknown,,Suspected,Fee-based facility/membership club,12,0,,,,,,,Recreational water -- treated,Pool - Other Swimming Pool,,1d5a4966db282415,2024-12-20,2006-04,20060401
2011,6,Alaska,Indeterminate/unknown,Salmonella enterica,Newport,Confirmed,,2,1,2,0,2,,,,,,,1d5a70e73d0a81ea,2024-12-20,2011-06,20110601
1999,6,Florida,Food,,,,Restaurant: Other,3,1,3,,,"pizza, unspecified",,Multiple,,,,1d5a7c07d72f8a4a,2024-12-20,1999-06,19990601
1999,4,Florida,Food,,,,Restaurant: Other,2,0,2,0,2,,,,,,,1d5c28e87f719b85,2024-12-20,1999-04,19990401
2012,4,Virginia,Person-to-person,Norovirus,,Suspected,School/college/university,14,0,,0,,,,,,,,1d5e49b10c8c265d,2024-12-20,2012-04,20120401
2000,8,Utah,Water,Campylobacter jejuni,,Confirmed,Camp/cabin,102,0,,0,,,,,Other/Environmental water,,,1d615abc42689401,2024-12-20,2000-08,20000801
2013,7,Maine,Indeterminate/unknown,,,,Camp,62,0,62,0,62,,,,,,,1d62fc3b2e6eda06,2024-12-20,2013-07,20130701
2015,2,Virginia,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,6,1,6,0,6,,,,,,,1d63ec144efd0747,2024-12-20,2015-02,20150201
2011,11,Illinois,Food,,,,Restaurant: Sit-down dining,9,0,9,0,9,,,,,,,1d65e41283e206ff,2024-12-20,2011-11,20111101
2008,11,Wisconsin,Food,Campylobacter jejuni;Clostridium perfringens,,Confirmed;Confirmed,School/college/university,76,0,76,0,76,roast beef,,Beef,,,,1d669cb002c1105d,2024-12-20,2008-11,20081101
1998,4,Florida,Food,Staphylococcus aureus,,Suspected,Restaurant: Other,3,0,3,0,3,"salmon, unspecified;fish, grouper, unspecified",,Fish,,,,1d670288d4af8370,2024-12-20,1998-04,19980401
2010,5,Wisconsin,Food,Norovirus Genogroup II,,Suspected,Restaurant: Sit-down dining,11,0,11,0,11,,,,,,,1d684626524c97fc,2024-12-20,2010-05,20100501
1998,3,Ohio,Food,,,,Other,5,0,,0,,,,,,,,1d68b697ef724630,2024-12-20,1998-03,19980301
2022,4,Nevada,Person-to-person,,,,Child daycare/preschool,17,0,17,0,17,,,,,,,1d68de7358ef5f38,2024-12-20,2022-04,20220401
2019,8,Washington,Indeterminate/unknown,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Other,36,0,0,0,36,,,,,,,1d68f8c6bd291fb7,2024-12-20,2019-08,20190801
2018,1,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,,1d69744c5bd90ee0,2024-12-20,2018-01,20180101
2017,1,Washington,Person-to-person,,,,School/college/university,49,0,49,0,49,,,,,,,1d69a85741efb56a,2024-12-20,2017-01,20170101
2003,8,Massachusetts,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,41,,,,,,,,,,,1d6d1f8a317eb213,2024-12-20,2003-08,20030801
2015,2,Illinois,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,22,0,22,0,22,,,,,,,1d70a7bc7b7ba999,2024-12-20,2015-02,20150201
2013,3,Illinois,Person-to-person,Norovirus unknown,,Suspected,School/college/university,23,0,23,0,23,,,,,,,1d70b3e82fef50e8,2024-12-20,2013-03,20130301
2021,11,South Carolina,Indeterminate/unknown,Norovirus unknown,,Suspected,School/college/university,16,0,0,0,0,,,,,,,1d72618d66431209,2024-12-20,2021-11,20211101
1998,11,Ohio,Food,,,,Other,2,0,2,0,2,"sandwich, chicken salad",,Multiple,,,,1d72a8795c811a0a,2024-12-20,1998-11,19981101
2023,3,Colorado,Food,Norovirus Genogroup II,unknown,Confirmed,Restaurant: Sit-down dining,189,0,0,0,187,,,,,,,1d72d419fc041df5,2024-12-20,2023-03,20230301
2015,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,12,1,12,0,12,,,,,,,1d73e77eced091f2,2024-12-20,2015-02,20150201
2016,5,New York,Food,Norovirus Genogroup II,,Suspected,Restaurant: Sit-down dining,9,0,9,0,9,Egg and shrimp dish,,Multiple,,,,1d7445482e7f325c,2024-12-20,2016-05,20160501
2016,11,Hawaii,Indeterminate/unknown,,,,School/college/university,10,0,10,0,10,,,,,,,1d74b8290ede8a38,2024-12-20,2016-11,20161101
2022,4,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,1d767ed67aeeef92,2024-12-20,2022-04,20220401
2018,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,12,0,12,0,12,,,,,,,1d76b2b21029b8ff,2024-12-20,2018-01,20180101
2009,2,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,1d77095a88edcc85,2024-12-20,2009-02,20090201
2014,4,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant: Sit-down dining,12,7,12,0,12,"ground beef, hamburger",ground beef,Beef,,,,1d77bc8fcb6841a1,2024-12-20,2014-04,20140401
2018,4,South Carolina,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,19,0,19,0,19,,,,,,,1d787ecb5e1acf2c,2024-12-20,2018-04,20180401
2017,12,Arizona,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,48,2,48,0,48,,,,,,,1d78e45626f0d298,2024-12-20,2017-12,20171201
2014,11,Minnesota,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant: Sit-down dining,6,0,6,0,6,Cobb Salad,,Multiple,,,,1d7a6de087f264bb,2024-12-20,2014-11,20141101
2003,5,Michigan,Food,,,,School/college/university,25,,,,,,,,,,,1d7d4f8cb6cdce15,2024-12-20,2003-05,20030501
2015,1,New York,Person-to-person,Clostridium difficile,,Confirmed,,3,,,,,,,,,,,1d7e61b7aedf8638,2024-12-20,2015-01,20150101
2018,10,Oregon,Person-to-person,,,,Child daycare/preschool,13,0,13,0,13,,,,,,,1d80a1c3053fba2e,2024-12-20,2018-10,20181001
2019,4,Kansas,Food,,,,Restaurant: Sit-down dining,2,0,1,0,2,,,,,,,1d80c236d71379b4,2024-12-20,2019-04,20190401
2016,1,Oregon,Person-to-person,Norovirus Genogroup I,,Suspected,Long-term care/nursing home/assisted living facility,23,,23,0,23,,,,,,,1d80fc0ca2afdb29,2024-12-20,2016-01,20160101
2021,5,Minnesota,Food,,,,Caterer,12,0,12,0,12,turkey wrap,turkey;spinach,Multiple,,,,1d82202b3b5ba5a2,2024-12-20,2021-05,20210501
2015,12,Maine,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,,1d82ffe96acbcf60,2024-12-20,2015-12,20151201
2014,4,Florida,Food,Bacillus cereus,,Suspected,Restaurant: Sit-down dining,2,0,2,0,2,,,,,,,1d83825843c31d9d,2024-12-20,2014-04,20140401
2017,2,North Carolina,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,32,0,32,0,32,,,,,,,1d84b10bcd3c5d4d,2024-12-20,2017-02,20170201
2015,12,Wisconsin,Person-to-person,Norovirus Genogroup I,GI.5,Suspected,Long-term care/nursing home/assisted living facility,56,0,56,0,56,,,,,,,1d86d06ddaa9f7b8,2024-12-20,2015-12,20151201
2016,10,Minnesota,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,10,0,0,0,0,,,,,,,1d8974f681ca5918,2024-12-20,2016-10,20161001
2008,4,Ohio,Food,,,,Restaurant: Other,5,0,5,0,5,,,,,,,1d8cda9cc1b8c008,2024-12-20,2008-04,20080401
2001,3,Maryland,Food,,,,Restaurant: Other,3,,,,,,,,,,,1d8f2fb2273e1b2d,2024-12-20,2001-03,20010301
2004,7,Wyoming,Food,Campylobacter unknown,,Confirmed,Other,6,1,6,0,6,"whole milk, unpasteurized",,Dairy,,,,1d8fdefde3494f5a,2024-12-20,2004-07,20040701
2002,12,California,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,33,5,33,,,,,,,,,1d900e4e5e8e9404,2024-12-20,2002-12,20021201
2011,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,1d937c0fc5f35ec8,2024-12-20,2011-01,20110101
2009,12,Minnesota,Person-to-person,Norovirus,,Suspected,School/college/university,43,0,0,0,0,,,,,,,1d93caaf52b91714,2024-12-20,2009-12,20091201
2015,12,South Carolina,Person-to-person,Norovirus Genogroup II,,Confirmed,Long-term care/nursing home/assisted living facility,37,0,37,0,37,,,,,,,1d94ad30868b76fc,2024-12-20,2015-12,20151201
2021,10,North Carolina,Person-to-person,Salmonella enterica,unknown,Confirmed,Child daycare/preschool,2,0,2,0,2,,,,,,,1d96f72e3520aef8,2024-12-20,2021-10,20211001
2004,9,Washington,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,3,0,3,0,3,,,,,,,1d9743d9ca211c47,2024-12-20,2004-09,20040901
2018,2,Illinois,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,19,4,19,0,19,,,,,,,1d980f3b1a3d5e7e,2024-12-20,2018-02,20180201
2011,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,91,0,9,0,9,,,,,,,1d9859f99e8897a1,2024-12-20,2011-01,20110101
2018,9,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,,1d985b128a109832,2024-12-20,2018-09,20180901
2016,2,Massachusetts,Indeterminate/unknown,Norovirus,,Suspected,Event space,20,0,20,0,20,,,,,,,1d99bb69078c1edc,2024-12-20,2016-02,20160201
2014,4,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,53,1,,0,,,,,,,,1d9b24af55e3ff11,2024-12-20,2014-04,20140401
2012,8,Massachusetts,Person-to-person,Cryptosporidium unknown,,Confirmed,Hotel/motel,15,0,15,0,15,,,,,,,1d9bfb4341cf1db6,2024-12-20,2012-08,20120801
