Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,RECORD_KEY,Load Date,year_month,date_key
2003,7,Washington,Food,Salmonella enterica,Typhimurium,Suspected,Restaurant: Other,3,0,3,0,3,"chicken, teriyaki",,Multiple,,,,bbf4afdf58a6a493,2024-12-20,2003-07,20030701
2023,4,Montana,Person-to-person,,,,Child daycare/preschool,15,0,0,0,0,,,,,,,bbf5de29ce0f8164,2024-12-20,2023-04,20230401
2002,12,Colorado,Food,,,,Restaurant: Other,15,0,15,0,15,,,,,,,bbf5efbfbb834944,2024-12-20,2002-12,20021201
2009,1,Virginia,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,,,,,bbf60dac8d7ace7b,2024-12-20,2009-01,20090101
2020,1,Oregon,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,24,1,24,0,24,,,,,,,bbf75ed249cfb09f,2024-12-20,2020-01,20200101
2002,11,California,Food,Bacillus cereus;Clostridium perfringens,,Suspected;Suspected,Caterer;Private home/residence,45,,,,,"turkey, roasted;sweet potato, unspecified",,Multiple,,,,bbf784ea7ea371f3,2024-12-20,2002-11,20021101
2009,5,Florida,Food,,,,Private home/residence,9,,,,,"fish, baracuda",,Fish,,,,bbf80f91223aa32e,2024-12-20,2009-05,20090501
2017,4,Puerto Rico,Indeterminate/unknown,"Cryptosporidium;Sapovirus;Escherichia coli, Enteropathogenic;Escherichia coli, Enterotoxigenic",,Confirmed;Confirmed;Confirmed;Confirmed,Unknown,3,1,3,0,3,,,,,,,bbf9819fdecce2ee,2024-12-20,2017-04,20170401
2015,6,Oregon,Water,Mycobacterium avium,,Confirmed,Private home/residence,9,0,9,0,9,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,,bbfa3d137ac0696a,2024-12-20,2015-06,20150601
2011,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,,bbfac6e0a9051096,2024-12-20,2011-01,20110101
2011,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,38,0,38,0,38,,,,,,,bbfb53deb50ba7ed,2024-12-20,2011-01,20110101
2017,9,Idaho,Food,Salmonella enterica,Typhimurium,Suspected,Private home/residence,3,0,3,0,3,hamburger,beef,Beef,,,,bbfc5f69e6783603,2024-12-20,2017-09,20170901
2008,9,California,Food,,,,Caterer,38,0,36,0,36,,,,,,,bbfc8e4e64cc4d38,2024-12-20,2008-09,20080901
2003,10,Washington,Food,Salmonella enterica,,Suspected,Restaurant: Other,2,,,,,,,,,,,bbfd2c0a84a3961f,2024-12-20,2003-10,20031001
2010,1,Oregon,Indeterminate/unknown,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,31,3,31,0,31,,,,,,,bbfdfaff73312a08,2024-12-20,2010-01,20100101
2019,3,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,27,0,27,0,27,,,,,,,bbfe02678fad6fbe,2024-12-20,2019-03,20190301
2013,1,Utah,Person-to-person,Norovirus Genogroup II,GII.6,Confirmed,Hospital,64,0,2,0,2,,,,,,,bc00bf5c1b90b785,2024-12-20,2013-01,20130101
2023,11,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,,bc022abaa5b71d12,2024-12-20,2023-11,20231101
2011,1,New York,Person-to-person,Norovirus,,Suspected,,136,,,,,,,,,,,bc0272196aef6424,2024-12-20,2011-01,20110101
2023,12,Iowa,Person-to-person,Norovirus unknown,,Suspected,Restaurant,21,0,21,0,21,,,,,,,bc02e0286b3f0767,2024-12-20,2023-12,20231201
2012,12,Iowa,Person-to-person,Norovirus unknown,,Suspected,Restaurant,9,0,9,0,9,,,,,,,bc0476b11b1b69bb,2024-12-20,2012-12,20121201
2003,8,Florida,Food,,,,Restaurant: Other,15,,,,,,,,,,,bc04f458b0538c11,2024-12-20,2003-08,20030801
2023,3,Oregon,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,,bc0540d943b43596,2024-12-20,2023-03,20230301
2017,3,Arizona,Person-to-person,,,,School/college/university,24,0,24,0,24,,,,,,,bc054631a0093727,2024-12-20,2017-03,20170301
2012,3,Texas,Person-to-person,,,,,15,0,0,0,0,,,,,,,bc06b13ae0d73402,2024-12-20,2012-03,20120301
2008,7,Kansas,Food,,,,Restaurant: Other,3,0,3,0,3,,,,,,,bc07481d4b1cc45f,2024-12-20,2008-07,20080701
2019,3,Oregon,Person-to-person,,,,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,,bc07e9c3789a9a3c,2024-12-20,2019-03,20190301
